ID	xTB_IP	xTB_EA	xTB_Opticalgap	xTB_oscillator_strength	Smiles	A	B	Sequence	check	Monomer_no_A	Monomer_no_B	Optical_gap	IP	EA	IP_cal	EA_cal	Opticalgap_cal	V_oc_expPCBM
18_26_01	-5.8162	-2.392	4.177	3.695	c1ccc2cc(-c3cccc4c(-c5ccc6cc(-c7cccc8c(-c9ccc%10cc(-c%11cccc%12c(-c%13ccc%14cc(-c%15cccc%16ccccc%15%16)ccc%14c%13)cccc%11%12)ccc%10c9)cccc78)ccc6c5)cccc34)ccc2c1	BrC1=CC2=CC=C(Br)C=C2C=C1	BrC1=CC=CC2=C(Br)C=CC=C12	AB	['AB', 'BrC1=CC2=CC=C(Br)C=C2C=C1', 'BrC1=CC=CC2=C(Br)C=CC=C12']	18	26				-5.7778640820563005	-1.2502523789118944	3.194865376371599	1.5876559685749212
18_26_0011	-5.8373	-2.3877	4.124	3.2009	c1ccc2cc(-c3ccc4cc(-c5cccc6c(-c7cccc8c(-c9ccc%10cc(-c%11ccc%12cc(-c%13cccc%14c(-c%15cccc%16ccccc%15%16)cccc%13%14)ccc%12c%11)ccc%10c9)cccc78)cccc56)ccc4c3)ccc2c1	BrC1=CC2=CC=C(Br)C=C2C=C1	BrC1=CC=CC2=C(Br)C=CC=C12	AABB	['AABB', 'BrC1=CC2=CC=C(Br)C=C2C=C1', 'BrC1=CC=CC2=C(Br)C=CC=C12']	18	26				-5.797096921733062	-1.2465590912043711	3.1657383679204765	1.60688668807086
18_26_00001111	-5.8233	-2.4074	4.122	3.3244	c1ccc2cc(-c3ccc4cc(-c5ccc6cc(-c7ccc8cc(-c9cccc%10c(-c%11cccc%12c(-c%13cccc%14c(-c%15cccc%16ccccc%15%16)cccc%13%14)cccc%11%12)cccc9%10)ccc8c7)ccc6c5)ccc4c3)ccc2c1	BrC1=CC2=CC=C(Br)C=C2C=C1	BrC1=CC=CC2=C(Br)C=CC=C12	AAAABBBB	['AAAABBBB', 'BrC1=CC2=CC=C(Br)C=C2C=C1', 'BrC1=CC=CC2=C(Br)C=CC=C12']	18	26				-5.784335795881183	-1.263479502329537	3.164639235526094	1.594126968974029
11_26_0011	-4.9776	-3.0917	2.448	2.8954	c1ccc2c(-c3cccc4c(-c5sc(-c6sc(-c7cccc8c(-c9cccc%10c(-c%11sc(-c%12scc%13ccccc%12%13)c%12ccccc%11%12)cccc9%10)cccc78)c7ccccc67)c6ccccc56)cccc34)cccc2c1	BrC1=C2C=CC=CC2=C(Br)S1	BrC1=CC=CC2=C(Br)C=CC=C12	AABB	['AABB', 'BrC1=C2C=CC=CC2=C(Br)S1', 'BrC1=CC=CC2=C(Br)C=CC=C12']	11	26				-5.01347264352869	-1.8512275902966155	2.2446654214283708	0.8233487946746847
11_26_00001111	-4.9475	-3.1919	2.329	2.5129	c1ccc2c(-c3cccc4c(-c5cccc6c(-c7cccc8c(-c9sc(-c%10sc(-c%11sc(-c%12scc%13ccccc%12%13)c%12ccccc%11%12)c%11ccccc%10%11)c%10ccccc9%10)cccc78)cccc56)cccc34)cccc2c1	BrC1=C2C=CC=CC2=C(Br)S1	BrC1=CC=CC2=C(Br)C=CC=C12	AAAABBBB	['AAAABBBB', 'BrC1=C2C=CC=CC2=C(Br)S1', 'BrC1=CC=CC2=C(Br)C=CC=C12']	11	26				-4.986036222947149	-1.9372897829230964	2.1792670439626427	0.7959153986164971
48_26_00001111	-4.0831	-2.0984	3.1010000000000004	4.8201	c1ccc2c(-c3cccc4c(-c5cccc6c(-c7cccc8c(-c9cc%10[nH]c%11cc(-c%12cc%13[nH]c%14cc(-c%15cc%16[nH]c%17cc(-c%18cc%19[nH]c%20cc[nH]c%20c%19[nH]%18)[nH]c%17c%16[nH]%15)[nH]c%14c%13[nH]%12)[nH]c%11c%10[nH]9)cccc78)cccc56)cccc34)cccc2c1	BrC1=CC2=C(N1)C1=C(N2)C=C(Br)N1	BrC1=CC=CC2=C(Br)C=CC=C12	AAAABBBB	['AAAABBBB', 'BrC1=CC2=C(N1)C1=C(N2)C=C(Br)N1', 'BrC1=CC=CC2=C(Br)C=CC=C12']	48	26				-4.198127852492502	-0.9980781298586516	2.6035321481940903	0.008093885237813125
48_26_0011	-4.3047	-2.1018	3.293	4.8921	c1ccc2c(-c3cccc4c(-c5cc6[nH]c7cc(-c8cc9[nH]c%10cc(-c%11cccc%12c(-c%13cccc%14c(-c%15cc%16[nH]c%17cc(-c%18cc%19[nH]c%20cc[nH]c%20c%19[nH]%18)[nH]c%17c%16[nH]%15)cccc%13%14)cccc%11%12)[nH]c%10c9[nH]8)[nH]c7c6[nH]5)cccc34)cccc2c1	BrC1=CC2=C(N1)C1=C(N2)C=C(Br)N1	BrC1=CC=CC2=C(Br)C=CC=C12	AABB	['AABB', 'BrC1=CC2=C(N1)C1=C(N2)C=C(Br)N1', 'BrC1=CC=CC2=C(Br)C=CC=C12']	48	26				-4.400118244547974	-1.0009984038599495	2.7090488580547607	0.21006201037052546
48_26_01	-4.6017	-2.1754	3.227	5.5964	c1ccc2c(-c3cc4[nH]c5cc(-c6cccc7c(-c8cc9[nH]c%10cc(-c%11cccc%12c(-c%13cc%14[nH]c%15cc(-c%16cccc%17c(-c%18cc%19[nH]c%20cc[nH]c%20c%19[nH]%18)cccc%16%17)[nH]c%15c%14[nH]%13)cccc%11%12)[nH]c%10c9[nH]8)cccc67)[nH]c5c4[nH]3)cccc2c1	BrC1=CC2=C(N1)C1=C(N2)C=C(Br)N1	BrC1=CC=CC2=C(Br)C=CC=C12	AB	['AB', 'BrC1=CC2=C(N1)C1=C(N2)C=C(Br)N1', 'BrC1=CC=CC2=C(Br)C=CC=C12']	48	26				-4.670836414405713	-1.0642137469468658	2.672777489040155	0.4807503369247464
14_26_01	-5.8048	-2.285	4.07	2.5301	c1ccc2c(-c3ccc(-c4cccc5c(-c6ccc(-c7cccc8c(-c9ccc(-c%10cccc%11c(-c%12cccc%13sccc%12%13)cccc%10%11)c%10sccc9%10)cccc78)c7sccc67)cccc45)c4sccc34)cccc2c1	BrC1=CC=C(Br)C2=C1SC=C2	BrC1=CC=CC2=C(Br)C=CC=C12	AB	['AB', 'BrC1=CC=C(Br)C2=C1SC=C2', 'BrC1=CC=CC2=C(Br)C=CC=C12']	14	26				-5.767472879576912	-1.1583496382828178	3.1360617932721637	1.5772659115960712
14_26_00001111	-5.7811	-2.2501	4.106	2.8319	c1ccc2c(-c3cccc4c(-c5cccc6c(-c7cccc8c(-c9ccc(-c%10ccc(-c%11ccc(-c%12cccc%13sccc%12%13)c%12sccc%11%12)c%11sccc%10%11)c%10sccc9%10)cccc78)cccc56)cccc34)cccc2c1	BrC1=CC=C(Br)C2=C1SC=C2	BrC1=CC=CC2=C(Br)C=CC=C12	AAAABBBB	['AAAABBBB', 'BrC1=CC=C(Br)C2=C1SC=C2', 'BrC1=CC=CC2=C(Br)C=CC=C12']	14	26				-5.74587011652766	-1.1283738845636144	3.155846176371038	1.5556655299821514
